"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000121274",355.846168517561,-0.0358908128513144,0.100601199394926,-0.356763269893229,0.72126903551745,0.802571766361357
"ENSG00000091640",668.542065974406,0.0274911355423319,0.0770803551144473,0.356655538256325,0.72134969457771,0.802600920933586
"ENSG00000138035",463.669073966629,-0.0318267544034729,0.0894544359675555,-0.355787324119022,0.721999842657569,0.803263658268834
"ENSG00000197168",5.85168279115774,-0.26213220231569,0.737616060390572,-0.355377568889822,0.722306751011794,0.803544451721906
"ENSG00000231887",2.97338117513847,-0.383897628297795,1.08203495289601,-0.354792261812165,0.722745225931668,0.803971555572566
"ENSG00000258388",3.31568768180332,0.363856434093963,1.02625531648255,0.354547672738072,0.722928483530352,0.80408915871823
"ENSG00000186205",4.46468748085552,-0.301966064693651,0.851903551373497,-0.354460389567341,0.722993884021096,0.80408915871823
"ENSG00000100985",3.11574936457056,-0.354475596252684,1.00049516460189,-0.354300159355326,0.723113948336771,0.80408915871823
"ENSG00000085831",11.4528808862471,-0.184611158598189,0.521133478557443,-0.354249278148881,0.723152076263148,0.80408915871823
"ENSG00000184984",1.28191360089374,-0.590236945740964,1.66617285410587,-0.354247126452979,0.723153688655608,0.80408915871823
